"DCODE-BCODE";"DNAME - BNAME";"DCODE";"DNAME";0;"BCODE";"BNAME";0
"79110-03173";"REESE PUBLIC SCHOOLS - REESE HIGH SCHOOL";;;;"09606";"HANLEY INTERNATIONAL ACADEMY";0
"79110-05372";"REESE PUBLIC SCHOOLS - REESE ELEMENTARY SCHOOL";;;;"09607";"DISCOVERY ARTS AND TECHNOLOGY PSA";0
"79110-06674";"REESE PUBLIC SCHOOLS - REESE MIDDLE SCHOOL";;;;"09608";"MILDRED C. WELLS PREPARATORY ACADEMY";0
"79145-00000";"UNIONVILLE-SEBEWAING AREA S.D. - ALL SCHOOLS";;;;"09609";"FRONTIER INTERNATIONAL ACADEMY";0
"79145-03431";"UNIONVILLE-SEBEWAING AREA S.D. - UNIONVILLE-SEBEWAING MIDDLE SCHOOL";;;;"09611";"BLANCHE KELSO BRUCE ACADEMY-WOLVERINE";0
"79145-04255";"UNIONVILLE-SEBEWAING AREA S.D. - UNIONVILLE-SEBEWAING HIGH SCHOOL";;;;"09612";"BLANCHE KELSO BRUCE ACADEMY-ST. JUDE'S";0
"79145-04909";"UNIONVILLE-SEBEWAING AREA S.D. - UNIONVILLE-SEBEWAING ELEM. SCHOOL";;;;"09615";"NORTHPOINTE ACADEMY";0
"79150-00000";"VASSAR PUBLIC SCHOOLS - ALL SCHOOLS";;;;"09618";"BLANCHE KELSO BRUCE ACADEMY-DEPAUL";0
"79150-00612";"VASSAR PUBLIC SCHOOLS - CENTRAL SCHOOL";;;;"09619";"DETROIT COMMUNITY SCHOOLS-ELEMENTARY";0
"79150-04287";"VASSAR PUBLIC SCHOOLS - VASSAR SENIOR HIGH SCHOOL";;;;"09621";"COVENANT HOUSE LIFE SKILLS CENTER EAST";0
"79150-04846";"VASSAR PUBLIC SCHOOLS - VASSAR JUNIOR HIGH SCHOOL";;;;"09624";"COVENANT HOUSE LIFE SKILLS CENTER WEST";0
"79150-07857";"VASSAR PUBLIC SCHOOLS - PIONEER WORK AND LEARN CENTER";;;;"09628";"GLAZA BUILDING";0
"80000-00000";"VAN BUREN ISD - ALL SCHOOLS";;;;"09635";"ALTERNATIVE AND ADULT EDUCATION";0
"80000-09764";"VAN BUREN ISD - BEHAVIORAL EDUCATION CENTER";;;;"09640";"JUVENILE SERVICES CENTER";0
"80010-00000";"SOUTH HAVEN PUBLIC SCHOOLS - ALL SCHOOLS";;;;"09644";"GEORGETOWN ELEMENTARY SCHOOL";0
"80010-02216";"SOUTH HAVEN PUBLIC SCHOOLS - LINCOLN SCHOOL";;;;"09646";"WORKMAN ELEMENTARY SCHOOL";0
"80010-02345";"SOUTH HAVEN PUBLIC SCHOOLS - MAPLE GROVE ELEMENTARY SCHOOL";;;;"09649";"COVENANT HOUSE LIFE SKILLS CENTER CENTRAL";0
"80010-03515";"SOUTH HAVEN PUBLIC SCHOOLS - SOUTH HAVEN HIGH SCHOOL";;;;"09655";"ROCKFORD SPANISH IMMERSION";0
"80010-07769";"SOUTH HAVEN PUBLIC SCHOOLS - BASELINE MIDDLE SCHOOL";;;;"09663";"ST. CHARLES ELEMENTARY SCHOOL";0
"80010-09522";"SOUTH HAVEN PUBLIC SCHOOLS - NORTH SHORE ELEMENTARY";;;;"09665";"BRENDEL ELEMENTARY SCHOOL";0
"80020-00000";"BANGOR PUBLIC SCHOOLS - ALL SCHOOLS";;;;"09666";"NORWAY ELEMENTARY SCHOOL";0
"80020-00189";"BANGOR PUBLIC SCHOOLS - BANGOR HIGH SCHOOL";;;;"09667";"VULCAN MIDDLE SCHOOL";0
"80020-04961";"BANGOR PUBLIC SCHOOLS - BANGOR MIDDLE SCHOOL";;;;"09669";"DISCOVERY ELEMENTARY";0
"80020-08412";"BANGOR PUBLIC SCHOOLS - SOUTH WALNUT ELEMENTARY SCHOOL";;;;"09670";"SEQUOYAH ELEMENTARY SCHOOL";0
"80040-00000";"COVERT PUBLIC SCHOOLS - ALL SCHOOLS";;;;"09673";"ROSEDALE ELEMENTARY";0
"80040-00816";"COVERT PUBLIC SCHOOLS - COVERT ELEMENTARY SCHOOL";;;;"09674";"MICHENER ELEMENTARY SCHOOL";0
"80040-00817";"COVERT PUBLIC SCHOOLS - COVERT HIGH SCHOOL";;;;"09675";"PRAIRIE ELEMENTARY SCHOOL";0
"80040-07237";"COVERT PUBLIC SCHOOLS - COVERT MIDDLE SCHOOL";;;;"09697";"VICTORY ACADEMY CHARTER SCHOOL";0
"80050-00000";"DECATUR PUBLIC SCHOOLS - ALL SCHOOLS";;;;"09698";"ASHLEY MIDDLE SCHOOL";0
"80050-00888";"DECATUR PUBLIC SCHOOLS - DECATUR HIGH SCHOOL";;;;"09699";"NEW OPTIONS HIGH SCHOOL";0
"80050-05055";"DECATUR PUBLIC SCHOOLS - DAVIS ELEMENTARY SCHOOL";;;;"09700";"WAVECREST CAREER ACADEMY";0
"80050-05056";"DECATUR PUBLIC SCHOOLS - DECATUR MIDDLE SCHOOL";;;;"09705";"MARVIN L. WINANS ACADEMY OF PERFORMING ARTS ELEM.";0
"80090-00000";"BLOOMINGDALE PUBLIC SCHOOL DISTRICT - ALL SCHOOLS";;;;"09709";"TAYLOR EXEMPLAR ACADEMY";0
"80090-00357";"BLOOMINGDALE PUBLIC SCHOOL DISTRICT - BLOOMINGDALE HIGH SCHOOL";;;;"09710";"DAVID ELLIS ACADEMY WEST";0
"80090-00358";"BLOOMINGDALE PUBLIC SCHOOL DISTRICT - BLOOMINGDALE ELEMENTARY SCHOOL";;;;"09725";"SPECIAL SERVICES - NORTH";0
"80090-05037";"BLOOMINGDALE PUBLIC SCHOOL DISTRICT - PULLMAN ELEMENTARY SCHOOL";;;;"09726";"WEBBERVILLE MIDDLE SCHOOL";0
"80090-09367";"BLOOMINGDALE PUBLIC SCHOOL DISTRICT - BLOOMINGDALE MIDDLE SCHOOL";;;;"09740";"ROYAL OAK MIDDLE SCHOOL";0
"80110-00000";"GOBLES PUBLIC SCHOOL DISTRICT - ALL SCHOOLS";;;;"09741";"ADDAMS ELEMENTARY";0
"80110-01429";"GOBLES PUBLIC SCHOOL DISTRICT - GOBLES ELEMENTARY SCHOOL";;;;"09742";"KELLER ELEMENTARY";0
"80110-01430";"GOBLES PUBLIC SCHOOL DISTRICT - GOBLES HIGH SCHOOL";;;;"09751";"CASEVILLE MIDDLE SCHOOL";0
"80120-00000";"HARTFORD PUBLIC SCHOOL DISTRICT - ALL SCHOOLS";;;;"09752";"TURNING POINT YOUTH CENTER";0
"80120-01598";"HARTFORD PUBLIC SCHOOL DISTRICT - HARTFORD HIGH SCHOOL";;;;"09753";"HARPER WOODS MIDDLE SCHOOL";0
"80120-01599";"HARTFORD PUBLIC SCHOOL DISTRICT - WOODSIDE ELEMENTARY SCHOOL";;;;"09755";"INNOCADEMY";0
"80120-02721";"HARTFORD PUBLIC SCHOOL DISTRICT - RED ARROW ELEMENTARY SCHOOL";;;;"09757";"CALHOUN COUNTY JUVENILE HOME";0
"80120-06343";"HARTFORD PUBLIC SCHOOL DISTRICT - HARTFORD MIDDLE SCHOOL";;;;"09762";"MASON COUNTY CENTRAL UPPER ELEMENTARY";0
"80130-00000";"LAWRENCE PUBLIC SCHOOL DISTRICT - ALL SCHOOLS";;;;"09764";"BEHAVIORAL EDUCATION CENTER";0
"80130-02139";"LAWRENCE PUBLIC SCHOOL DISTRICT - LAWRENCE ELEMENTARY SCHOOL";;;;"09766";"NORTH EAST EDUCATION CENTER";0
"80130-02140";"LAWRENCE PUBLIC SCHOOL DISTRICT - LAWRENCE JR/SR HIGH SCHOOL";;;;"09770";"CODY 9TH GRADE ACADEMY";0
"80140-00000";"LAWTON COMMUNITY SCHOOL DISTRICT - ALL SCHOOLS";;;;"09775";"HENRY FORD EARLY COLLEGE";0
"80140-02141";"LAWTON COMMUNITY SCHOOL DISTRICT - LAWTON ELEMENTARY SCHOOL";;;;"09777";"LAKESIDE ACADEMY";0
"80140-02142";"LAWTON COMMUNITY SCHOOL DISTRICT - LAWTON HIGH SCHOOL";;;;"09778";"CARDINAL ELEMENTARY";0
"80140-06370";"LAWTON COMMUNITY SCHOOL DISTRICT - LAWTON MIDDLE SCHOOL";;;;"09784";"INTERNATIONAL ACADEMY OF SAGINAW";0
"80140-09635";"LAWTON COMMUNITY SCHOOL DISTRICT - ALTERNATIVE AND ADULT EDUCATION";;;;"09785";"FLAGSHIP CHARTER ACADEMY";0
"80150-00000";"MATTAWAN CONSOLIDATED SCHOOL - ALL SCHOOLS";;;;"09786";"PEAK ALTERNATIVE HIGH SCHOOL";0
"80150-02439";"MATTAWAN CONSOLIDATED SCHOOL - MATTAWAN HIGH SCHOOL";;;;"09787";"CLARA B. FORD ACADEMY (SDA)";0
"80150-05678";"MATTAWAN CONSOLIDATED SCHOOL - MATTAWAN MIDDLE SCHOOL";;;;"09788";"TURNING POINT ACADEMY";0
"80150-07495";"MATTAWAN CONSOLIDATED SCHOOL - MATTAWAN LATER ELEM. SCHOOL";;;;"09818";"ACADEMY OF OAK PARK - MIDDLE SCHOOL";0
"80160-00000";"PAW PAW PUBLIC SCHOOL DISTRICT - ALL SCHOOLS";;;;"09819";"STEPHENSON MIDDLE SCHOOL";0
"80160-02541";"PAW PAW PUBLIC SCHOOL DISTRICT - PAW PAW MIDDLE SCHOOL";;;;"09820";"HORIZON ALTERNATIVE SCHOOL";0
"80160-02980";"PAW PAW PUBLIC SCHOOL DISTRICT - PAW PAW HIGH SCHOOL";;;;"09821";"TRAVERSE CITY COLLEGE PREPARATORY ACADEMY";0
"80160-07750";"PAW PAW PUBLIC SCHOOL DISTRICT - MICHIGAN AVENUE ACADEMY";;;;"09823";"ACE ACADEMY (SDA) - CALUMET CENTER";0
"80160-09043";"PAW PAW PUBLIC SCHOOL DISTRICT - PAW PAW LATER ELEMENTARY";;;;"09825";"CHANDLER PARK ACADEMY - HIGH SCHOOL";0
"80240-00000";"BANGOR TOWNSHIP S/D #8 - ALL SCHOOLS";;;;"09827";"UNIVERSAL LEARNING ACADEMY";0
"80240-05559";"BANGOR TOWNSHIP S/D #8 - WOOD SCHOOL - BANGOR TWP #8";;;;"09830";"OAKLAND INTERNATIONAL ACADEMY-INTERMEDIATE";0
"81010-00000";"ANN ARBOR PUBLIC SCHOOLS - ALL SCHOOLS";;;;"09840";"SKYLINE HIGH SCHOOL";0
"81010-00006";"ANN ARBOR PUBLIC SCHOOLS - ABBOT SCHOOL";;;;"09863";"UNIVERSITY HIGH SCHOOL ACADEMY";0
"81010-00099";"ANN ARBOR PUBLIC SCHOOLS - ANGELL SCHOOL";;;;"09883";"APPLEVIEW ELEMENTARY SCHOOL";0
"81010-00163";"ANN ARBOR PUBLIC SCHOOLS - ANN ARBOR OPEN AT MACK SCHOOL";;;;"09885";"INNOVATIONS ACADEMY";0
"81010-00455";"ANN ARBOR PUBLIC SCHOOLS - BURNS PARK ELEMENTARY SCHOOL";;;;"09886";"INTERNATIONAL  ACADEMY OF MACOMB";0
"81010-00533";"ANN ARBOR PUBLIC SCHOOLS - CARPENTER SCHOOL";;;;"09887";"UNIVERSITY PREPARATORY ACADEMY (PSAD) - ELEMENTARY";0
"81010-00915";"ANN ARBOR PUBLIC SCHOOLS - DICKEN ELEMENTARY SCHOOL";;;;"09888";"UNIVERSITY PREPARATORY ACADEMY (PSAD) - MIDDLE";0
"81010-01064";"ANN ARBOR PUBLIC SCHOOLS - EBERWHITE SCHOOL";;;;"09889";"UNIVERSITY PREPARATORY ACADEMY (PSAD)-HIGH SCHOOL";0
"81010-01271";"ANN ARBOR PUBLIC SCHOOLS - FORSYTHE MIDDLE SCHOOL";;;;"09890";"VINE ELEMENTARY";0
"81010-01534";"ANN ARBOR PUBLIC SCHOOLS - HAISLEY ELEMENTARY SCHOOL";;;;"09891";"HOLMES FOUNDATION";0
"81010-01939";"ANN ARBOR PUBLIC SCHOOLS - JOHN ALLEN SCHOOL";;;;"09892";"MCKINLEY FOUNDATION ";0
"81010-02143";"ANN ARBOR PUBLIC SCHOOLS - URIAH H. LAWTON SCHOOL";;;;"09898";"GRAND RAPIDS UNIVERSITY PREPARATORY ACADEMY";0
"81010-02303";"ANN ARBOR PUBLIC SCHOOLS - BACH ELEMENTARY SCHOOL";;;;"09899";"CENTER FOR ECONOMICOLOGY";0
"81010-02582";"ANN ARBOR PUBLIC SCHOOLS - MARY D. MITCHELL SCHOOL";;;;"09905";"REACH CHARTER ACADEMY";0
"81010-02766";"ANN ARBOR PUBLIC SCHOOLS - NORTHSIDE ELEMENTARY SCHOOL";;;;"09906";"VISTA MEADOWS ACADEMY";0
"81010-02973";"ANN ARBOR PUBLIC SCHOOLS - PATTENGILL SCHOOL";;;;"09907";"UNIVERSITY PREPARATORY SCIENCE AND MATH (PSAD)";0
"81010-03060";"ANN ARBOR PUBLIC SCHOOLS - PITTSFIELD SCHOOL";;;;"09908";"UNIVERSITY PREPARATORY ACADEMY (PSAD) ELEMENTARY";0
"81010-03488";"ANN ARBOR PUBLIC SCHOOLS - SLAUSON MIDDLE SCHOOL";;;;"09911";"EXCEL CHARTER ACADEMY-GRAND RIVER PREP SCHOOL";0
"81010-04131";"ANN ARBOR PUBLIC SCHOOLS - TAPPAN MIDDLE SCHOOL";;;;"09912";"DREAM ACADEMY";0
"81010-04182";"ANN ARBOR PUBLIC SCHOOLS - THURSTON ELEMENTARY SCHOOL";;;;"09914";"WINANS ACADEMY MIDDLE SCHOOL";0
"81010-04562";"ANN ARBOR PUBLIC SCHOOLS - WINES ELEMENTARY SCHOOL";;;;"09923";"WASHTENAW COUNTY DROP BACK IN ACADEMY";0
"81010-04882";"ANN ARBOR PUBLIC SCHOOLS - PIONEER HIGH SCHOOL";;;;"09924";"LIGHTHOUSE ACADEMY";0
"81010-05641";"ANN ARBOR PUBLIC SCHOOLS - SCARLETT MIDDLE SCHOOL";;;;;;
"81010-05671";"ANN ARBOR PUBLIC SCHOOLS - HURON HIGH SCHOOL";;;;;;
"81010-05745";"ANN ARBOR PUBLIC SCHOOLS - COMMUNITY HIGH SCHOOL";;;;;;
"81010-05760";"ANN ARBOR PUBLIC SCHOOLS - MARTIN LUTHER KING ELEM. SCHOOL";;;;;;
"81010-06304";"ANN ARBOR PUBLIC SCHOOLS - CLAGUE MIDDLE SCHOOL";;;;;;
"81010-06542";"ANN ARBOR PUBLIC SCHOOLS - ROBERTO CLEMENTE CENTER";;;;;;
"81010-06697";"ANN ARBOR PUBLIC SCHOOLS - LOGAN ELEMENTARY SCHOOL";;;;;;
"81010-08680";"ANN ARBOR PUBLIC SCHOOLS - STONE HIGH SCHOOL";;;;;;
"81010-08895";"ANN ARBOR PUBLIC SCHOOLS - LAKEWOOD ELEMENTARY SCHOOL";;;;;;
"81010-09840";"ANN ARBOR PUBLIC SCHOOLS - SKYLINE HIGH SCHOOL";;;;;;
"81020-00000";"SCHOOL DISTRICT OF YPSILANTI - ALL SCHOOLS";;;;;;
"81020-00988";"SCHOOL DISTRICT OF YPSILANTI - CHAPELLE COMMUNITY SCHOOL";;;;;;
"81020-01019";"SCHOOL DISTRICT OF YPSILANTI - EAST MIDDLE SCHOOL";;;;;;
"81020-01153";"SCHOOL DISTRICT OF YPSILANTI - ERICKSON SCHOOL";;;;;;
"81020-01157";"SCHOOL DISTRICT OF YPSILANTI - ESTABROOK SCHOOL";;;;;;
"81020-02825";"SCHOOL DISTRICT OF YPSILANTI - OLIVE M. ADAMS ELEMENTARY SCHOOL";;;;;;
"81020-04455";"SCHOOL DISTRICT OF YPSILANTI - WEST MIDDLE SCHOOL";;;;;;
"81020-06273";"SCHOOL DISTRICT OF YPSILANTI - YPSILANTI HIGH SCHOOL";;;;;;
"81020-07871";"SCHOOL DISTRICT OF YPSILANTI - FOREST SCHOOL";;;;;;
"81020-09923";"SCHOOL DISTRICT OF YPSILANTI - WASHTENAW COUNTY DROP BACK IN ACADEMY";;;;;;
"81040-00000";"CHELSEA SCHOOL DISTRICT - ALL SCHOOLS";;;;;;
"81040-00656";"CHELSEA SCHOOL DISTRICT - CHELSEA HIGH SCHOOL";;;;;;
"81040-00657";"CHELSEA SCHOOL DISTRICT - BEACH MIDDLE SCHOOL";;;;;;
"81040-03507";"CHELSEA SCHOOL DISTRICT - SOUTH MEADOWS ELEMENTARY SCHOOL";;;;;;
"81040-08517";"CHELSEA SCHOOL DISTRICT - PIERCE LAKE ELEMENTARY SCHOOL";;;;;;
"81050-00000";"DEXTER COMMUNITY SCHOOL DISTRICT - ALL SCHOOLS";;;;;;
"81050-00214";"DEXTER COMMUNITY SCHOOL DISTRICT - WYLIE ELEMENTARY SCHOOL";;;;;;
"81050-00913";"DEXTER COMMUNITY SCHOOL DISTRICT - DEXTER HIGH SCHOOL";;;;;;
"81050-04609";"DEXTER COMMUNITY SCHOOL DISTRICT - CREEKSIDE INTERMEDIATE SCHOOL";;;;;;
"81050-08039";"DEXTER COMMUNITY SCHOOL DISTRICT - MILL CREEK MIDDLE SCHOOL";;;;;;
"81070-00000";"LINCOLN CONSOLIDATED SCHOOL DISTRICT - ALL SCHOOLS";;;;;;
"81070-00308";"LINCOLN CONSOLIDATED SCHOOL DISTRICT - BESSIE HOFFMAN ELEMENTARY SCHOOL";;;;;;
"81070-02186";"LINCOLN CONSOLIDATED SCHOOL DISTRICT - LINCOLN BRICK ELEMENTARY SCHOOL";;;;;;
"81070-02187";"LINCOLN CONSOLIDATED SCHOOL DISTRICT - LINCOLN SENIOR HIGH SCHOOL";;;;;;
"81070-05166";"LINCOLN CONSOLIDATED SCHOOL DISTRICT - LINCOLN MIDDLE SCHOOL";;;;;;
"81070-07190";"LINCOLN CONSOLIDATED SCHOOL DISTRICT - LINCOLN REDNER ELEMENTARY SCHOOL";;;;;;
"81070-09148";"LINCOLN CONSOLIDATED SCHOOL DISTRICT - CHILD'S ELEMENTARY";;;;;;
"81080-00000";"MANCHESTER COMMUNITY SCHOOLS - ALL SCHOOLS";;;;;;
"81080-02334";"MANCHESTER COMMUNITY SCHOOLS - MANCHESTER MIDDLE SCHOOL";;;;;;
"81080-02335";"MANCHESTER COMMUNITY SCHOOLS - MANCHESTER HIGH SCHOOL";;;;;;
"81080-05816";"MANCHESTER COMMUNITY SCHOOLS - LUTHER C. KLAGER ELEM. SCHOOL";;;;;;
"81100-00000";"MILAN AREA SCHOOLS - ALL SCHOOLS";;;;;;
"81100-02558";"MILAN AREA SCHOOLS - MILAN HIGH SCHOOL";;;;;;
"81100-05691";"MILAN AREA SCHOOLS - MILAN MIDDLE SCHOOL";;;;;;
"81100-09182";"MILAN AREA SCHOOLS - CLAYTON H. SYMONS ELEMENTARY SCHOOL";;;;;;
"81120-00000";"SALINE AREA SCHOOLS - ALL SCHOOLS";;;;;;
"81120-03385";"SALINE AREA SCHOOLS - SALINE MIDDLE SCHOOL";;;;;;
"81120-06203";"SALINE AREA SCHOOLS - SALINE HIGH SCHOOL";;;;;;
"81120-07527";"SALINE AREA SCHOOLS - PLEASANT RIDGE ELEMENTARY SCHOOL";;;;;;
"81120-08504";"SALINE AREA SCHOOLS - WOODLAND MEADOWS ELEMENTARY SCHOOL";;;;;;
"81120-08505";"SALINE AREA SCHOOLS - HERITAGE SCHOOL";;;;;;
"81120-09038";"SALINE AREA SCHOOLS - HARVEST ELEMENTARY SCHOOL";;;;;;
"81140-00000";"WHITMORE LAKE PUBLIC SCHOOLS - ALL SCHOOLS";;;;;;
"81140-04515";"WHITMORE LAKE PUBLIC SCHOOLS - WHITMORE LAKE HIGH SCHOOL";;;;;;
"81140-07578";"WHITMORE LAKE PUBLIC SCHOOLS - WHITMORE LAKE ELEMENTARY SCHOOL";;;;;;
"81140-07579";"WHITMORE LAKE PUBLIC SCHOOLS - WHITMORE LAKE MIDDLE SCHOOL";;;;;;
"81150-00000";"WILLOW RUN COMMUNITY SCHOOLS - ALL SCHOOLS";;;;;;
"81150-00643";"WILLOW RUN COMMUNITY SCHOOLS - KETTERING ELEMENTARY SCHOOL";;;;;;
"81150-01632";"WILLOW RUN COMMUNITY SCHOOLS - FORD ELEMENTARY SCHOOL";;;;;;
"81150-01638";"WILLOW RUN COMMUNITY SCHOOLS - KAISER ELEMENTARY SCHOOL";;;;;;
"81150-01705";"WILLOW RUN COMMUNITY SCHOOLS - HOLMES ELEMENTARY SCHOOL";;;;;;
"81150-04550";"WILLOW RUN COMMUNITY SCHOOLS - WILLOW RUN HIGH SCHOOL";;;;;;
"81150-05953";"WILLOW RUN COMMUNITY SCHOOLS - CHENEY ACADEMY";;;;;;
"81150-09404";"WILLOW RUN COMMUNITY SCHOOLS - WILLOW RUN MIDDLE SCHOOL";;;;;;
"81901-00000";"HONEY CREEK COMMUNITY SCHOOL - ALL SCHOOLS";;;;;;
"81901-08241";"HONEY CREEK COMMUNITY SCHOOL - HONEY CREEK COMMUNITY SCHOOL";;;;;;
"81902-00000";"CENTRAL ACADEMY - ALL SCHOOLS";;;;;;
"81902-08333";"CENTRAL ACADEMY - CENTRAL ACADEMY (1-12)";;;;;;
"81904-00000";"ANN ARBOR LEARNING COMMUNITY - ALL SCHOOLS";;;;;;
"81904-08655";"ANN ARBOR LEARNING COMMUNITY - ANN ARBOR LEARNING COMMUNITY";;;;;;
"81905-00000";"SOUTH ARBOR CHARTER ACADEMY - ALL SCHOOLS";;;;;;
"81905-08741";"SOUTH ARBOR CHARTER ACADEMY - SOUTH ARBOR CHARTER ACADEMY";;;;;;
"81906-00000";"FORTIS ACADEMY - ALL SCHOOLS";;;;;;
"81906-09447";"FORTIS ACADEMY - FORTIS ACADEMY";;;;;;
"81907-00000";"VICTORY ACADEMY CHARTER SCHOOL - ALL SCHOOLS";;;;;;
"81907-09697";"VICTORY ACADEMY CHARTER SCHOOL - VICTORY ACADEMY CHARTER SCHOOL";;;;;;
"81908-00000";"EASTERN WASHTENAW MULTICULTURAL ACADEMY - ALL SCHOOLS";;;;;;
"81908-09446";"EASTERN WASHTENAW MULTICULTURAL ACADEMY - EASTERN WASHTENAW MULTICULTURAL ACADEMY";;;;;;
"82010-00000";"DETROIT CITY SCHOOL DISTRICT - ALL SCHOOLS";;;;;;
"82010-00005";"DETROIT CITY SCHOOL DISTRICT - HOLMES, A.L.  ELEMENTARY SCHOOL";;;;;;
"82010-00029";"DETROIT CITY SCHOOL DISTRICT - DAVIS AEROSPACE HIGH SCHOOL";;;;;;
"82010-00082";"DETROIT CITY SCHOOL DISTRICT - EARHART MIDDLE SCHOOL";;;;;;
"82010-00103";"DETROIT CITY SCHOOL DISTRICT - ANN ARBOR TRAIL MAGNET MIDDLE SCHOOL";;;;;;
"82010-00168";"DETROIT CITY SCHOOL DISTRICT - BAGLEY ELEMENTARY SCHOOL";;;;;;
"82010-00176";"DETROIT CITY SCHOOL DISTRICT - GOLIGHTLY EDUCATION CENTER";;;;;;
"82010-00200";"DETROIT CITY SCHOOL DISTRICT - BARBOUR MAGNET MIDDLE SCHOOL";;;;;;
"82010-00213";"DETROIT CITY SCHOOL DISTRICT - BARTON ELEMENTARY SCHOOL";;;;;;
"82010-00238";"DETROIT CITY SCHOOL DISTRICT - CLEMENTE, ROBERTO ACADEMY";;;;;;
"82010-00277";"DETROIT CITY SCHOOL DISTRICT - BENNETT ELEMENTARY SCHOOL";;;;;;
"82010-00333";"DETROIT CITY SCHOOL DISTRICT - BIRNEY ELEMENTARY SCHOOL";;;;;;
"82010-00374";"DETROIT CITY SCHOOL DISTRICT - BOYNTON ELEMENTARY-MIDDLE SCHOOL";;;;;;
"82010-00446";"DETROIT CITY SCHOOL DISTRICT - BUNCHE ELEMENTARY SCHOOL";;;;;;
"82010-00456";"DETROIT CITY SCHOOL DISTRICT - BURNS ELEMENTARY SCHOOL";;;;;;
"82010-00463";"DETROIT CITY SCHOOL DISTRICT - BURT ELEMENTARY SCHOOL";;;;;;
"82010-00468";"DETROIT CITY SCHOOL DISTRICT - BURTON INTERNATIONAL SCHOOL";;;;;;
"82010-00471";"DETROIT CITY SCHOOL DISTRICT - BUTZEL ELEMENTARY/MIDDLE SCHOOL";;;;;;
"82010-00510";"DETROIT CITY SCHOOL DISTRICT - CAMPBELL ELEMENTARY SCHOOL";;;;;;
"82010-00542";"DETROIT CITY SCHOOL DISTRICT - CARSTENS ELEMENTARY SCHOOL";;;;;;
"82010-00546";"DETROIT CITY SCHOOL DISTRICT - CARVER ELEMENTARY SCHOOL";;;;;;
"82010-00554";"DETROIT CITY SCHOOL DISTRICT - CASS TECHNICAL HIGH SCHOOL";;;;;;
"82010-00617";"DETROIT CITY SCHOOL DISTRICT - CENTRAL HIGH SCHOOL";;;;;;
"82010-00630";"DETROIT CITY SCHOOL DISTRICT - CERVENY MIDDLE SCHOOL";;;;;;
"82010-00631";"DETROIT CITY SCHOOL DISTRICT - CHADSEY HIGH SCHOOL";;;;;;
"82010-00689";"DETROIT CITY SCHOOL DISTRICT - CHRYSLER ELEMENTARY SCHOOL";;;;;;
"82010-00701";"DETROIT CITY SCHOOL DISTRICT - CLARK ELEMENTARY SCHOOL";;;;;;
"82010-00717";"DETROIT CITY SCHOOL DISTRICT - CLEVELAND MIDDLE SCHOOL";;;;;;
"82010-00727";"DETROIT CITY SCHOOL DISTRICT - CLINTON ELEMENTARY SCHOOL";;;;;;
"82010-00741";"DETROIT CITY SCHOOL DISTRICT - COFFEY ELEMENTARY/MIDDLE SCHOOL";;;;;;
"82010-00781";"DETROIT CITY SCHOOL DISTRICT - COOKE ELEMENTARY SCHOOL";;;;;;
"82010-00785";"DETROIT CITY SCHOOL DISTRICT - COOLEY HIGH SCHOOL";;;;;;
"82010-00787";"DETROIT CITY SCHOOL DISTRICT - COOLIDGE ELEMENTARY SCHOOL";;;;;;
"82010-00812";"DETROIT CITY SCHOOL DISTRICT - COURTIS ELEMENTARY SCHOOL";;;;;;
"82010-00826";"DETROIT CITY SCHOOL DISTRICT - CRARY ELEMENTARY SCHOOL";;;;;;
"82010-00857";"DETROIT CITY SCHOOL DISTRICT - MARSHALL, THURGOOD ELEMENTARY SCHOOL";;;;;;
"82010-00880";"DETROIT CITY SCHOOL DISTRICT - DAVISON ELEMENTARY SCHOOL";;;;;;
"82010-00902";"DETROIT CITY SCHOOL DISTRICT - DENBY HIGH SCHOOL";;;;;;
"82010-00908";"DETROIT CITY SCHOOL DISTRICT - DETROIT DAY SCHOOL FOR THE DEAF";;;;;;
"82010-00925";"DETROIT CITY SCHOOL DISTRICT - DIXON ELEMENTARY SCHOOL";;;;;;
"82010-00939";"DETROIT CITY SCHOOL DISTRICT - DOSSIN ELEMENTARY SCHOOL";;;;;;
"82010-00966";"DETROIT CITY SCHOOL DISTRICT - DUFFIELD ELEMENTARY SCHOOL";;;;;;
"82010-00975";"DETROIT CITY SCHOOL DISTRICT - DURFEE ELEMENTARY SCHOOL";;;;;;
"82010-01043";"DETROIT CITY SCHOOL DISTRICT - KING HIGH SCHOOL";;;;;;
"82010-01084";"DETROIT CITY SCHOOL DISTRICT - EDISON ELEMENTARY SCHOOL";;;;;;
"82010-01087";"DETROIT CITY SCHOOL DISTRICT - EDMONSON ELEMENTARY SCHOOL";;;;;;
"82010-01134";"DETROIT CITY SCHOOL DISTRICT - EMERSON ELEMENTARY SCHOOL";;;;;;
"82010-01211";"DETROIT CITY SCHOOL DISTRICT - FARWELL MIDDLE SCHOOL";;;;;;
"82010-01236";"DETROIT CITY SCHOOL DISTRICT - FINNEY HIGH SCHOOL";;;;;;
"82010-01244";"DETROIT CITY SCHOOL DISTRICT - FITZGERALD ELEMENTARY SCHOOL";;;;;;
"82010-01248";"DETROIT CITY SCHOOL DISTRICT - FLEMING ELEMENTARY SCHOOL";;;;;;
"82010-01362";"DETROIT CITY SCHOOL DISTRICT - GARDNER ELEMENTARY SCHOOL";;;;;;
